t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
11,7.719366988867549e-05,1.0009733813857893,1.0008961877159006,1.11,0.054513309307105406,0.05448093857950427,0.054551906142049744,0.035040878902539596,0.03502158048506743,0.03500583256353174,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
12,5.410302483332963e-05,1.0009541504242283,1.000900047399395,1.11,0.05452292478788591,0.05450023699697644,0.05454997630030256,0.03502865095014798,0.03501512519393965,0.035004087890253964,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
13,3.7919388329532566e-05,1.0009406719389662,1.0009027525506367,1.11,0.0545296640305169,0.05451376275318477,0.05454862372468172,0.035020080698637136,0.03501060085155475,0.0350028650950148,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
14,2.6576703925584866e-05,1.0009312252239786,1.000904648520053,1.11,0.054534387388010766,0.054523242600267155,0.054547675739973545,0.03501407403447714,0.035007429858495746,0.03500200806986372,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
15,1.8626913984132187e-05,1.0009246042692335,1.0009059773552493,1.11,0.054537697865383365,0.05452988677624855,0.05454701132237538,0.03500986412125258,0.035005207392756546,0.03500140740344772,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
16,1.3055114971960435e-05,1.0009199638159205,1.0009069087009486,1.11,0.05454001809203977,0.054534543504744584,0.05454654564952577,0.03500691350360645,0.03500364972486346,0.03500098641212526,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
17,9.149987324708064e-06,1.0009167114440218,1.0009075614566971,1.11,0.054541644277989146,0.054537807283487574,0.054546219271651486,0.035004845493165564,0.03500255799633439,0.03500069135036065,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
18,6.412985885440037e-06,1.0009144319419487,1.0009080189560633,1.11,0.05454278402902564,0.05454009478031875,0.0545459905219684,0.03500339607894262,0.03500179283247126,0.03500048454931656,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
19,4.494693436107866e-06,1.0009128342987936,1.0009083396053575,1.11,0.05454358285060326,0.05454169802679011,0.05454583019732129,0.0350023802225678,0.03500125654920877,0.03500033960789427,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
20,3.150212622315962e-06,1.0009117145526516,1.0009085643400293,1.11,0.05454414272367427,0.05454282170014914,0.05454571782998541,0.03500166823550567,0.03500088068235009,0.03500023802225679,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
21,2.207901319106753e-06,1.0009109297519794,1.0009087218506603,1.11,0.05454453512401036,0.05454360925330472,0.054545639074669916,0.03500116922246688,0.0350006172471371,0.035000166823550574,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
22,1.547460066531059e-06,1.0009103797057928,1.0009088322457262,1.11,0.054544810147103606,0.054544161228634494,0.05454558387713693,0.03500081947732938,0.03500043261231275,0.03500011692224669,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
23,1.0845741327258906e-06,1.0009099941928623,1.0009089096187296,1.11,0.05454500290356892,0.05454454809365113,0.05454554519063526,0.03500057435014505,0.03500030320661187,0.03500008194773294,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
24,7.601495342068887e-07,1.0009097239969704,1.0009089638474362,1.11,0.05454513800151481,0.05454481923718431,0.05454551807628194,0.035000402546937225,0.03500021250955367,0.03500005743501451,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
25,5.327688510359252e-07,1.000909534623764,1.000909001854913,1.11,0.05454523268811802,0.05454500927456786,0.05454549907254358,0.035000282134579536,0.03500014894236678,0.03500004025469373,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
26,3.734037004043955e-07,1.0009094018970557,1.0009090284933553,1.11,0.05454529905147226,0.05454514246678062,0.05454548575332241,0.03500019774071953,0.03500010438979443,0.03500002821345796,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
27,2.617088497025577e-07,1.00090930887239,1.0009090471635402,1.11,0.05454534556380507,0.05454523581770572,0.05454547641822993,0.03500013859127866,0.03500007316406623,0.03500001977407196,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
28,1.8342486174383055e-07,1.0009092436738445,1.0009090602489827,1.11,0.0545453781630778,0.054545301244918146,0.05454546987550868,0.03500009713498854,0.035000051278773106,0.035000013859127876,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
29,1.2855766984287698e-07,1.0009091979778957,1.0009090694202258,1.11,0.05454540101105222,0.05454534710113358,0.05454546528988713,0.03500006807936323,0.035000035939945766,0.03500000971349886,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
30,9.010269552689465e-08,1.000909165950805,1.0009090758481094,1.11,0.05454541702459763,0.05454537924055104,0.05454546207594535,0.03500004771503828,0.035000025189364396,0.03500000680793633,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
