,IS,expectations,Phillips,monetary_rule
y,0.7567567567567568,-3.243243243243243,-0.9729729729729728,-1.5135135135135134
pi_expected,0.08108108108108106,1.081081081081081,0.32432432432432423,-0.1621621621621622
pi,0.2702702702702703,0.2702702702702702,1.0810810810810811,-0.5405405405405406
r_expected,0.1216216216216216,1.6216216216216215,0.4864864864864864,0.7567567567567567
