variable,equilibrium_1,equilibrium_2,absolute_deviation,relative_deviation
y,1.0000000000000002,1.0756756756756758,0.07567567567567557,0.07567567567567557
pi_expected,0.034999999999999996,0.04310810810810809,0.008108108108108095,0.2316602316602312
pi,0.035,0.06202702702702703,0.02702702702702703,0.7722007722007722
r_expected,0.05000000000000001,0.06216216216216216,0.012162162162162149,0.24324324324324298
